,Points de Ramassage ,Localisation Coordonnées GPS,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Distance(km)
203,Aissani,"[36.8022066, 2.9198283]",7,7,,,M1,Ain beniane 1,0.0
204,Rond Point la Madrague,"[36.8013032, 2.9089314]",3,3,,,,Ain beniane 1,1.0357
205,École police,"[36.7966238, 2.9052173]",6,7,,,G1,Ain beniane 1,0.641
206,Zigadi,"[36.7893719, 2.9028603]",7,7,,,,Ain beniane 1,0.8402000000000001
207,Plateau,"[36.7848066, 2.9491143]",1,1,6h50,6h50,,Ain beniane 2,0.0
208,Grand rocher,"[36.8028093, 2.9406338]",2,3,7h00,7h00,,Ain beniane 2,3.8331999999999997
209,Anade,"[36.7987045, 2.9289384]",3,3,7h05,7h05,,Ain beniane 2,1.2905
210,Sonelgaz,"[36.7943471, 2.9342911]",1,1,,,,Ain beniane 2,0.7407999999999999
211,Pharmacie dey,"[36.7914613, 2.9392116]",0,1,,,,Ain beniane 2,0.6464
212,Hai chenawa,"[36.7883019, 2.9148906]",3,5,,,,Ain beniane 2,2.1948000000000003
213,Stade belle vue,"[36.7887699, 2.9128344]",2,2,,,,Ain beniane 2,0.2065
214,Maison de jeunes,"[36.7905895, 2.9111926]",1,1,,,,Ain beniane 2,0.3143
215,Association bir w ihssen,"[36.7943353, 2.9125712]",2,2,,,,Ain beniane 2,0.4634
216,Bâtiments ain benian,"[36.7972601, 2.9127412]",3,3,,,,Ain beniane 2,0.3513
217,"SARL djaouad","[36.7989144, 2.912586]",2,2,,,,Ain beniane 2,0.18480000000000002
218,Entrée cheraga,"[36.7708781, 2.9185673]",2,4,,, ,Ain beniane 2,5.298100000000001
219,Sidi serhan,"[36.5043507, 2.9989471]",1,1,,,,Bouinane,0.0
220,Boulangerie serine,"[36.5312584, 2.9614887]",2,2,,,G1,Bouinane,6.3152
221,AADL 2000,"[36.532533, 2.9612486]",1,1,,,,Bouinane,0.1779
222,AADL 3000,"[36.5389002, 2.9598492]",1,1,,,G1,Bouinane,2.332
223,Haouch lgereoun,"[36.5399355, 2.9670325]",1,1,,,,Bouinane,1.1755
224,Hai wouroud,"[36.5399435, 2.9680923]",2,2,,,G1,Bouinane,0.0947
225,3100 arrêt 1,"[36.5386282, 2.9810949]",1,1,,,,Bouinane,1.572
226,Cem chetouan,"[36.5352862, 2.9823449]",4,4,,,G1,Bouinane,0.5257999999999999
227,Cem 2,"[36.5350728, 2.9812287]",2,2,,,,Bouinane,0.1291
228,Arrêt prochain,"[36.5342056, 2.9822899]",3,3,,,G1,Bouinane,0.1885
229,Déviation,"[36.5342636, 2.9870199]",6,6,,,G2,Bouinane,0.4305
230,4500,"[36.5387839, 2.9929835]",4,4,,,,Bouinane,1.504
231,Tabainat,"[36.53461, 3.0411999]",3,3,,,G2,Bouinane,4.993600000000001
232,AADL Aslan,"[36.6803586, 2.8421662]",5,5,7h00,7h00,,Sidi abdellah,0.0
233,Aslan rond Point 2,"[36.6783809, 2.8421015]",6,6,7h01,7h01,C1,Sidi abdellah,0.2496
234,Cem sidi Abdellah,"[36.6718237, 2.8431476]",1,1,,,,Sidi abdellah,0.7429
235,AADL 5000,"[36.6745744, 2.8480758]",4,4,,,G1,Sidi abdellah,1.0471
236,"5000 arrêt 2","[36.676632, 2.8498719]",1,1,,,,Sidi abdellah,1.7394
237,"Bâtiment N8","[36.6813744, 2.8509558]",2,2,,,,Sidi abdellah,0.6332000000000001
238,Bâtiment R1,"[36.6809972, 2.8554284]",3,3,,,,Sidi abdellah,0.5038
239,Boucherie lina,"[36.6860044, 2.854209]",2,3,,,,Sidi abdellah,1.4662
240,Boulevard Hocine ait ahmed,"[36.6873662, 2.8570981]",1,1,,,,Sidi abdellah,0.2989
241,Air de sport,"[36.6901739, 2.8601893]",2,2,,,G1,Sidi abdellah,0.7017
242,"New Town","[36.6901736, 2.8556762]",1,1,,,,Sidi abdellah,0.7182000000000001
243,"CAAR sidi Abdellah","[36.6902949, 2.8541725]",1,1,,,,Sidi abdellah,0.1492
244,"Poste sidi Abdellah","[36.6909272, 2.8503416]",6,6,,,"G1, C1, P1",Sidi abdellah,0.35760000000000003
245,Hôpital des grands brûlés zeralda,"[36.6990339, 2.8441142]",1,1,,,,Sidi abdellah,1.2953
246,Cité police sidi menif,"[36.6939256, 2.8253458]",2,3,7h00,7h00,"S1, G1",Zeralda,0.0
247,Sidi menif,"[36.6972701, 2.8240784]",1,1,7h02,7h02,G1,Zeralda,0.4677
248,Gare routière zeralda,"[36.7128185, 2.833789]",1,3,7h10,7h10,"S1, G1",Zeralda,2.2617
249,Beridja,"[36.7429712, 2.8702443]",1,3,7h17,7h17,S2,Zeralda,5.392600000000001
250,Hôtel riad,"[36.7573598, 2.8518799]",1,1,7h20,7h20,,Zeralda,2.3275
251,Centre de  vacances netcom,"[36.7561903, 2.8589106]",1,1,7h22,7h22,,Zeralda,0.6424
252,Hai Khaled ibn walid,"[36.7506361, 2.8720994]",1,1,7h25,7h25,,Zeralda,1.3699000000000001
253,Staoueli centre,"[36.748613, 2.8852667]",4,5,7h30,7h30,"M1, S1",Zeralda,1.5294
254,Parc communal,"[36.7554013, 2.8888813]",0,1,7h32,7h32,V1,Zeralda,0.8332
255,Club des pins,"[36.7649186, 2.8958952]",1,1,7h35,7h35,,Zeralda,1.2478
256,AADL 3000 logement,"[36.6315561, 3.3427134]",2,2,6h25,6h25,,Khmiss el khechna ,0.0
257,Rond point pompiers,"[36.6607315, 3.3308966]",0,1,6h38,6h38,,Khmiss el khechna ,4.5747
258,El djoumhouria,"[36.6753921, 3.1938816]",1,1,6h55,6h55,,Khmiss el khechna ,18.7781
259,Remadnia,"[36.6670436, 3.1790517]",1,1,7h02,7h02,G1,Khmiss el khechna ,2.234
260,Hai El amir ,"[36.6745112, 3.1701665]",1,1,7h05,7h05,,Khmiss el khechna ,1.2012
261,Ouled El hadj,"[36.6603604, 3.1548173]",3,4,7h13,7h13,"S1, C2",Khmiss el khechna ,5.718100000000001
262,Foyer,"[36.6639608, 3.1479817]",3,3,7h17,7h17,,Khmiss el khechna ,0.9183
263,AADL lotissement,"[36.6659278, 3.1446658]",3,3,7h20,7h20,C1,Khmiss el khechna ,0.6267999999999999
264,Rond Point eucalyptus,"[36.6526068, 3.1473131]",0,1,7h30,7h30,V1,Khmiss el khechna ,1.5212
265,Baba Ali autoroute,"[36.6489295, 3.0475202]",1,2,7h40,7h40,C1,Khmiss el khechna ,9.6102
266,Crèche la fonton,"[36.7865576, 3.0240143]",1,1,07h10,07h10,,Bouzereah 1,0.0
267,Dar El alia,"[36.7900845, 3.0189476]",1,1,07h15,07h15,,Bouzereah 1,1.2183
268,Cimetière sidi Mhamed,"[36.7927694, 3.0117734]",2,2,07h20,07h20,G2,Bouzereah 1,0.7417999999999999
269,Cfpa,"[36.7970268, 3.0083217]",1,1,07h21,07h21,,Bouzereah 1,0.6102000000000001
270,Bouhamem,"[36.7968458, 3.0039145]",2,2,07h25,07h25,,Bouzereah 1,0.4589
271,Bousmaha,"[36.7963934, 2.9940554]",3,3,07h27,07h27,,Bouzereah 1,0.9026000000000001
272,Sidi Youssef,"[36.796823, 2.9891677]",1,1,07h28,07h28,,Bouzereah 1,0.478
273,Mosquée tawba,"[36.7963432, 2.9867417]",1,1,,,S1,Bouzereah 1,0.2225
274,Lavage,"[36.7936393, 2.9796764]",1,1,,,,Bouzereah 1,0.7333
275,Logts el amel,"[36.7931966, 2.9784359]",1,1,07h30,07h30,,Bouzereah 1,0.1202
276,Sidi Youssef 2,"[36.7838244, 2.9646543]",5,5,07h32,07h32,,Bouzereah 1,1.862
277,Beni messous entré,"[36.7893039, 2.9699658]",1,1,,,G1,Bouzereah 1,0.8989
278,Mosquée rahma (inv),"[36.7847285, 2.9665191]",1,1,,,,Bouzereah 1,0.6242000000000001
279,Beni messous,"[36.7831896, 2.9702685]",1,1,07h35,07h35,,Bouzereah 1,1.4399000000000002
280,Geureoumi El barage,"[36.7802597, 2.9720549]",1,1,07h40,07h40,,Bouzereah 1,0.8526
281,Celeste,"[36.795399, 3.0371997]",1,3,7h10,7h10,S1,Bouzereah 2,0.0
282,Chemin sidi bennour,"[36.7955885, 3.0357825]",1,1,7h11,7h11,G1,Bouzereah 2,0.179
283,Chemin sidi bennour 2,"[36.7953982, 3.0345101]",4,4,7h14,7h14,,Bouzereah 2,0.1402
284,Bouzareah,"[36.7899701, 3.0166862]",3,3,7h16,7h16,P1,Bouzereah 2,1.8665
285,Société générale,"[36.7848437, 3.013143]",0,1,7h18,7h18,S1,Bouzereah 2,0.669
286,Air de France,"[36.7798305, 3.0102797]",7,7,7h20,7h20,G3,Bouzereah 2,0.6217
287,Rue Djamel Eddine El afghani,"[36.7794342, 3.0038971]",2,3,7h30,7h30,M1,Bouzereah 2,0.5977
288,Thenia,"[36.721312, 3.5705516]",1,1,06h05,06h05,,Boumerdes,0.0
289,Daïra de Boumerdes,"[36.7565336, 3.4774075]",6,6,06h20,06h20,G3,Boumerdes,12.3495
290,Yssref,"[36.7575723, 3.4564726]",1,2,06h25,06h25,S1,Boumerdes,2.5614
291,Corso naftal,"[36.7552109, 3.4472511]",1,1,06h27,06h27,,Boumerdes,1.0524
292,Rond point berrahmoun,"[36.7442626, 3.4369337]",2,2,7h30,7h30,,Boumerdes,1.8911
293,Entrée boudouaou,"[36.7219745, 3.4193277]",1,1,7h35,7h35,G1,Boumerdes,5.5063
294,Benadjel,"[36.7201898, 3.3982438]",5,5,7h37,7h37,G2,Boumerdes,1.9642
295,Ouled hedadj,"[36.7234971, 3.3488835]",3,3,7h40,7h40,,Boumerdes,4.6895
296,Aissat,"[36.7203913, 3.3362107]",1,1,7h43,7h43,,Boumerdes,1.1835
297,Rond Point hammadi,"[36.671579, 3.2885338]",4,4,7h55,7h55,G1,Boumerdes,10.957799999999999
298,Didouche mourad,"[36.7660869, 3.0518469]",6,6,,,E1,Alger centre,0.0
299,Bibliothèque Nationale,"[36.7640674, 3.0441684]",1,1,,,,Alger centre,1.9098
300,Ouagnouni,"[36.7750303, 3.0538988]",3,3,,,,Alger centre,1.8543
301,Scala,"[36.774395, 3.042318]",1,1,,,,Alger centre,2.0047
302,Place Kennedy,"[36.768516, 3.0304352]",3,3,,,,Alger centre,1.7874
303,Fougeroux,"[36.7701457, 3.0045066]",2,2,,,,Alger centre,2.7952
304,Route Dely Brahim,"[36.7691716, 2.9873757]",3,3,,,,Alger centre,2.9323
305,"Batoire
","[36.7019473, 3.0284443]",1,1,6h50,6h50,,Shaoula,0.0
306,"Rond point gendarmerie
","[36.702847, 3.0277258]",2,2,6h52,6h52,M1,Shaoula,0.142
307,"Centre de Formation
","[36.7007043, 3.016998]",1,1,6h54,6h54,C1,Shaoula,1.1461
308,"Boujemaa temim
","[36.7004747, 3.0116185]",4,4,6h56,6h56,,Shaoula,1.5202
309,"Mosquée Al anssar
","[36.7105772, 3.003078]",2,2,7h00,7h00,,Shaoula,1.4065
310,"Stade draria
","[36.7168387, 2.9997514]",2,2,7h02,7h02,,Shaoula,0.9261
311,"Pharmacie boudia
","[36.714658, 2.9976059]",1,1,7h05,7h05,,Shaoula,0.44410000000000005
312,location number one,"[36.707716, 2.9964875]",5,5,7h07,7h07,,Shaoula,0.9937999999999999
313,saraza,"[36.7093723, 2.9935836]",1,1,7h13,7h13,S1,Shaoula,0.3245
314,chemin des cretes,"[36.7112707, 2.9914208]",3,3,7h15,7h15,,Shaoula,0.2888
315,superette 1 2 3,"[36.7195631, 2.9937711]",1,1,7h17,7h17,,Shaoula,0.9999
316,Draria,"[36.7226058, 2.9922026]",1,1,7h18,7h18,,Shaoula,0.8482999999999999
317,Oued terfa,"[36.7245871, 2.9903543]",2,2,7h20,7h20,,Shaoula,0.2762
318,"La Pérouse
","[36.8048954, 3.2366156]",9,9,6h15,6h15,G2,Tamenfoust,0.0
319,"Bordj El bahri
","[36.7906711, 3.2499146]",1,1,6h22,6h22,,Tamenfoust,2.8245999999999998
320,"AADL faizi 1
","[36.7846009, 3.2523665]",1,1,6h27,6h27,G1,Tamenfoust,1.3679000000000001
321,"Aadl faizi 2
","[36.7843587, 3.2544767]",1,1,6h28,6h28,,Tamenfoust,0.1901
322,"Cité diplomatique
","[36.7754605, 3.2653783]",1,1,6h35,6h35,,Tamenfoust,2.6007
323,"Dergana
","[36.7672177, 3.2632888]",1,1,6h40,6h40,,Tamenfoust,1.1267
324,"Dergana 2
","[36.7643059, 3.2611028]",1,1,6h42,6h42,,Tamenfoust,0.5239
325,"Rond point souachette
","[36.752494, 3.2507344]",2,2,6h45,6h45,G1,Tamenfoust,2.1234
326,Stade 20 août,"[36.7443513, 3.0777121]",1,1,7h00,7h00,,Ruisseau,0.0
327,Café boutawi,"[36.7432033, 3.0803682]",2,2,7h01,7h01,G2,Ruisseau,0.2696
328,CNAS ruisseau,"[36.746943, 3.0871321]",1,1,7h05,7h05,C1,Ruisseau,0.9137000000000001
329,Jardin d'essai,"[36.7503207, 3.0776303]",1,1,7h07,7h07,,Ruisseau,0.9457000000000001
330,Sofitel,"[36.7517974, 3.0731742]",0,1,,,,Ruisseau,0.43139999999999995
331,Cnep,"[36.7551188, 3.0663952]",2,3,,,,Ruisseau,0.7541
332,Mustapha bacha,"[36.7616659, 3.0562813]",4,5,,,"G2, C1",Ruisseau,1.2782
333,CNR,"[36.7583816, 3.042994]",1,1,,,,Ruisseau,1.7403
334,Bir Mourad Rais,"[36.739173, 3.0499057]",2,2,,,,Ruisseau,2.5191999999999997
335,Sonatrach,"[36.7413304, 3.0448061]",1,1,,,,Ruisseau,0.8202
336,Place Perrine,"[36.7433621, 3.0423965]",1,2,,,,Ruisseau,0.42169999999999996
337,Place qods,"[36.7473294, 3.0403661]",2,2,,,C1,Ruisseau,0.48960000000000004
338,Parado,"[36.747976, 3.0321028]",1,2,,,,Ruisseau,1.0888
339,Rond Point parado 2,"[36.7449201, 3.0285328]",0,1,,,,Ruisseau,0.48760000000000003
340,Maqaria,"[36.7333185, 3.1095225]",3,3,7h00,7h00,G2,H-dey,0.0
341,Parnet,"[36.7344897, 3.106972]",0,1,7h05,7h05,S1,H-dey,0.26689999999999997
342,Pharmacie benamadi,"[36.7345005, 3.1062445]",2,2,7h10,7h10,G1,H-dey,0.06470000000000001
343,H-dey 1,"[36.7362873, 3.1037141]",2,2,7h12,7h12,,H-dey,0.3102
344,Brigade gendarmerie,"[36.7415832, 3.0971451]",1,2,7h13,7h13,,H-dey,1.0527
345,Lycée aicha,"[36.741375, 3.0942915]",1,1,7h15,7h15,,H-dey,0.3465
346,Les annaceur,"[36.7360111, 3.0759234]",1,1,7h20,7h20,,H-dey,2.9844
347,Rond point garidi,"[36.7332357, 3.0618147]",2,5,7h30,7h30,S2,H-dey,1.4349
348,Cevital,"[36.7326239, 3.0573602]",1,1,7h31,7h31,,H-dey,0.4027
349,El magharia,"[36.7320859, 3.1213238]",1,1,6h50,6h50,,Bachdjerah,0.0
350,Diar jemaa,"[36.7231983, 3.1263848]",3,3,7h06,7h06,,Bachdjerah,2.3632
351,Bourouba,"[36.723316, 3.1254601]",2,2,7h07,7h07,,Bachdjerah,0.1192
352,Metro bachjarah,"[36.721659, 3.11808]",3,3,7h08,7h08,G1,Bachdjerah,0.6871
353,Etusa Bachjarah,"[36.7212903, 3.1155467]",6,6,7h10,7h10,G1,Bachdjerah,0.2291
354,Mosquée Abi oubeida,"[36.7199949, 3.113869]",1,1,7h11,7h11,,Bachdjerah,0.2071
355,LPP bachjarah,"[36.7140078, 3.1018969]",1,1,7h12,7h12,,Bachdjerah,1.3244
356,Fleuriste,"[36.7116206, 3.0937833]",2,2,7h15,7h15,,Bachdjerah,1.0351
357,Stade ain naadja,"[36.7097158, 3.0869567]",2,2,7h18,7h18,,Bachdjerah,0.6777000000000001
358,Golden training,"[36.7089462, 3.0853135]",5,5,7h19,7h19,B1,Bachdjerah,0.1701
359,Station ain naadja,"[36.7085855, 3.0820288]",1,1,7h20,7h20,G1,Bachdjerah,0.38489999999999996
360,AADL ain naadja,"[36.7122052, 3.0858892]",2,2,7h22,7h22,,Bachdjerah,0.5376000000000001
361,Hôpital ain naadja,"[36.7229011, 3.0646568]",1,1,7h27,7h27,G1,Bachdjerah,3.4128000000000003
362,Dar beida auto route,"[36.7137958, 3.2273653]",1,1,,,G1,El hamiz,0.0
363,Pont dar El beida,"[36.7177931, 3.2251615]",1,1,,,,El hamiz,6.2347
364,Sntp,"[36.7281673, 3.2167002]",1,1,,,,El hamiz,1.759
365,Mosalaha,"[36.7210441, 3.2005476]",3,3,,,,El hamiz,2.7869
366,Fatma nsoumer,"[36.7205854, 3.2147113]",2,2,7h50,7h50,,El hamiz,2.3805
367,Poste dar beida,"[36.722176, 3.2105643]",1,1,,,,El hamiz,0.7535
368,Quatre chemins,"[36.7213322, 3.205333]",1,2,,,,El hamiz,0.4756
369,Société générale usthb,"[36.7147166, 3.1891492]",1,1,,,,El hamiz,5.455100000000001
370,Usthb jorf,"[36.7190258, 3.1810043]",3,3,,,,El hamiz,0.907
371,Mayo,"[36.7931292, 3.0498322]",1,1,6h55,6h55,G1,Bab el oued,0.0
372,Stade bouloughine,"[36.8017051, 3.0485361]",1,1,,,,Bab el oued,1.6089
373,Hôtel bouloughine,"[36.8023277, 3.0480663]",1,1,,,,Bab el oued,0.08109999999999999
374,La vigie,"[36.8120927, 3.022182]",2,2,,,,Bab el oued,2.8289
375,Usine ciment,"[36.816426, 3.0168823]",1,1,,,C1,Bab el oued,0.7303
376,Rond Point la pointe,"[36.8172082, 3.009406]",4,4,,,,Bab el oued,0.6876
377,Les horizons,"[36.8157727, 3.0010211]",2,2,,,,Bab el oued,0.7739
378,Birouma,"[36.8125037, 2.9871634]",1,1,7h20,7h20,,Bab el oued,1.3353
379,Tribunal bainem,"[36.8138796, 2.9763588]",2,2,7h25,7h25,,Bab el oued,1.0002
380,Elhammamet,"[36.8138423, 2.9695075]",4,4,7h30,7h30,,Bab el oued,0.6167
381,Cinclo,"[36.8076244, 2.9460559]",2,2,,,,Bab el oued,2.2538
382,Cimetière,"[36.8066317, 2.9371456]",1,1,7h40,7h40,,Bab el oued,0.8198
383,Piscine ain El malha,"[36.6939557, 3.0727031]",2,2,6h45,6h45,,Ain malha,0.0
384,Pharmacie,"[36.6926849, 3.0682208]",1,1,,,,Ain malha,0.6267
385,Passerelle birkhadem,"[36.7144091, 3.0449017]",1,1,,,,Ain malha,3.7786999999999997
386,Cimetière,"[36.7132988, 3.0420807]",1,1,7h00,7h00,,Ain malha,1.595
387,Arrêt 2,"[36.713728, 3.040984]",1,1,,,,Ain malha,0.1088
388,Hôpital Teixrain,"[36.7230527, 3.0206907]",1,1,7h10,7h10,,Ain malha,2.3706
389,Sebala,"[36.7218127, 3.0155566]",1,1,,,,Ain malha,1.4181
390,Mosquée islah,"[36.7223096, 3.0151292]",2,2,7h15,7h15,,Ain malha,0.0767
391,Commecariat draria,"[36.7140428, 3.0005497]",2,2,,,,Ain malha,2.8733
392,Quartier 18,"[36.6774629, 2.9178558]",3,3,6h50,6h50,,Souidania,0.0
393,Rahmania,"[36.6849537, 2.9073838]",2,2,6h55,6h55,,Souidania,1.2975999999999999
394,Souidania 1,"[36.7031389, 2.9082042]",2,2,7h05,7h05,,Souidania,3.6955999999999998
395,Souidania 2,"[36.708481, 2.9121528]",4,4,7h08,7h08,,Souidania,0.7592000000000001
396,Souidania Lpp,"[36.7048525, 2.9184929]",2,2,7h10,7h10,,Souidania,0.7253999999999999
397,AADL Ouled Fayet,"[36.7048781, 2.9405007]",1,1,7h15,7h15,,Souidania,2.5271
398,Cité verte,"[36.7139764, 2.950326]",2,2,7h20,7h20,,Souidania,1.5019
399,Arrêt bus cité verte,"[36.7161956, 2.9525023]",1,1,7h21,7h21,,Souidania,0.31510000000000005
400,Pharmacie du pont,"[36.7207082, 2.9546339]",2,2,7h25,7h25,,Souidania,0.5414
401,Cité semrouni,"[36.7356207, 2.9425466]",2,2,7h27,7h27,,Souidania,2.4586
402,Rond Point opéra,"[36.7340343, 2.933987]",3,3,7h30,7h30,,Souidania,0.8034
403,Alger plage,"[36.7803037, 3.2369046]",1,1,6h20,6h20,,Alger plage,0.0
404,Doum ,"[36.7711136, 3.2428319]",2,2,6h30,6h30,G1,Alger plage,2.381
405,Sidi driss,"[36.7660152, 3.2380311]",1,1,6h31,6h31,,Alger plage,0.7222999999999999
406,Artisanat 1,"[36.7633245, 3.2346519]",1,1,6h35,6h35,G1,Alger plage,0.42469999999999997
407,Ben Merad,"[36.7563356, 3.2255267]",1,1,6h40,6h40,,Alger plage,1.1257000000000001
408,Sorecal,"[36.7373679, 3.1928151]",1,1,6h48,6h48,,Alger plage,4.302899999999999
409,Marché sorecal,"[36.7351634, 3.1896833]",2,2,6h40,6h40,G1,Alger plage,0.37489999999999996
410,huit mai,"[36.736646, 3.1852395]",1,1,6h55,6h55,,Alger plage,0.5087
411,Les bananiers,"[36.731667, 3.1742123]",5,5,7h02,7h02,G1,Alger plage,1.6387
